Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Story Focus,Gameplay Focus,Series
Assassin's Creed: Altair's Chronicles,2008,Platform,Ubisoft,0.03,0.01,0,0,0.05,58,30,6.3,30,Gameloft,T,,x,x
Assassin's Creed: Bloodlines,2009,Action,Ubisoft,0.43,0.47,0.05,0.28,1.23,63,38,7.2,69,Griptonite Games,M,,x,x
Assassin's Creed: Brotherhood,2010,Action,Ubisoft,2.85,0.38,0.03,0.24,3.49,89,81,8.3,693,Ubisoft Montreal,M,,x,x
Assassin's Creed: Brotherhood,2010,Action,Ubisoft,1.87,0.55,0.11,0.29,2.82,90,59,8.2,791,Ubisoft Montreal,M,,x,x
Assassin's Creed: Brotherhood,2011,Action,Ubisoft,0.15,0.34,0,0.1,0.59,88,24,8.2,1102,Ubisoft Montreal,M,,x,x
Assassin's Creed: Revelations,2011,Action,Ubisoft,1.41,2.01,0.1,0.7,4.22,80,39,7.5,613,Ubisoft Montreal,M,,x,x
Assassin's Creed: Revelations,2011,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19,80,77,7.2,564,Ubisoft Montreal,M,,x,x
Assassin's Creed: Revelations,2011,Action,Ubisoft,0.14,0.48,0,0.12,0.74,80,20,7.4,771,Ubisoft Montreal,M,,x,x
Assassin's Creed: Rogue,2014,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29,72,53,7.5,292,Ubisoft Sofia,M,,x,x
Assassin's Creed: Rogue,2014,Action,Ubisoft,0.58,0.34,0,0.09,1.01,72,32,7.3,318,Ubisoft,M,,x,x
Assassin's Creed: Rogue,2015,Action,Ubisoft,0.05,0.02,0,0.01,0.08,74,25,7.5,362,Ubisoft,M,,x,x
Assassin's Creed: Unity,2014,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,70,40,4.9,2050,"Ubisoft, Ubisoft Montreal",M,,x,x
Assassin's Creed: Unity,2014,Action,Ubisoft,2.27,0.9,0,0.33,3.5,72,59,4.1,1005,"Ubisoft, Ubisoft Montreal",M,,x,x
Assassin's Creed: Unity,2014,Action,Ubisoft,0.18,0.33,0,0.04,0.55,70,10,3,1463,"Ubisoft, Ubisoft Montreal",M,,x,x
Assassin's Creed Chronicles,2016,Action,Ubisoft,0.01,0.04,0.01,0.01,0.07,70,6,8,24,Climax Studios,T,,x,x
